Neighborhood,Borough,Date,Longitude,Latitude,Type,Median_Rent
Astoria,Queens,2017-01-01,-73.91565374304234,40.76850859335492,One_Bedroom,2000
Astoria,Queens,2017-01-01,-73.91565374304234,40.76850859335492,Two_Bedrooms,2300
Astoria,Queens,2017-01-01,-73.91565374304234,40.76850859335492,Three_Bedrooms,3000
Astoria,Queens,2017-02-01,-73.91565374304234,40.76850859335492,Studio,1800
Astoria,Queens,2017-02-01,-73.91565374304234,40.76850859335492,One_Bedroom,1925
Astoria,Queens,2017-02-01,-73.91565374304234,40.76850859335492,Two_Bedrooms,2300
Astoria,Queens,2017-02-01,-73.91565374304234,40.76850859335492,Three_Bedrooms,3000
Astoria,Queens,2017-03-01,-73.91565374304234,40.76850859335492,Studio,1775
Astoria,Queens,2017-03-01,-73.91565374304234,40.76850859335492,One_Bedroom,1900
Astoria,Queens,2017-03-01,-73.91565374304234,40.76850859335492,Two_Bedrooms,2300
Astoria,Queens,2017-03-01,-73.91565374304234,40.76850859335492,Three_Bedrooms,3000
Astoria,Queens,2017-04-01,-73.91565374304234,40.76850859335492,Studio,1700
Astoria,Queens,2017-04-01,-73.91565374304234,40.76850859335492,One_Bedroom,1900
Astoria,Queens,2017-04-01,-73.91565374304234,40.76850859335492,Two_Bedrooms,2300
Astoria,Queens,2017-04-01,-73.91565374304234,40.76850859335492,Three_Bedrooms,3000
Astoria,Queens,2017-05-01,-73.91565374304234,40.76850859335492,Studio,1700
Astoria,Queens,2017-05-01,-73.91565374304234,40.76850859335492,One_Bedroom,1900
